2026-04-30 17:31:54 | QueryProcessingActor-4 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-4] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:31:54 | QueryProcessingActor-4 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-4] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:31:54 | QueryProcessingActor-4 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-4] Deserializing FAISS index for this actor...
2026-04-30 17:31:54 | QueryProcessingActor-4 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-4] Created independent FAISS vector store for this actor
2026-04-30 17:31:54 | QueryProcessingActor-4 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-4] Recreated retriever with search_type=similarity
2026-04-30 17:31:54 | QueryProcessingActor-4 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-4] Recreated RAG spec with retrieval mode
2026-04-30 17:31:54 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 5 for shard 0 (1 batches)
2026-04-30 17:31:55 | QueryProcessingActor-5 | INFO | query_actor.py:165 | [p1-rag-evals_10:QueryProcessingActor-5] Initializing new inference engine (config hash: 190e7a05)
2026-04-30 17:31:55 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-04-30 17:31:57 | QueryProcessingActor-5 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-5] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:31:57 | QueryProcessingActor-5 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-5] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:31:57 | QueryProcessingActor-5 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-5] Deserializing FAISS index for this actor...
2026-04-30 17:31:57 | QueryProcessingActor-5 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-5] Created independent FAISS vector store for this actor
2026-04-30 17:31:57 | QueryProcessingActor-5 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-5] Recreated retriever with search_type=similarity
2026-04-30 17:31:57 | QueryProcessingActor-5 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-5] Recreated RAG spec with retrieval mode
2026-04-30 17:31:57 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 6 for shard 0 (1 batches)
2026-04-30 17:31:57 | QueryProcessingActor-6 | INFO | query_actor.py:165 | [p1-rag-evals_10:QueryProcessingActor-6] Initializing new inference engine (config hash: 190e7a05)
2026-04-30 17:31:57 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-04-30 17:31:59 | QueryProcessingActor-6 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-6] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:31:59 | QueryProcessingActor-6 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-6] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:31:59 | QueryProcessingActor-6 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-6] Deserializing FAISS index for this actor...
2026-04-30 17:31:59 | QueryProcessingActor-6 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-6] Created independent FAISS vector store for this actor
2026-04-30 17:31:59 | QueryProcessingActor-6 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-6] Recreated retriever with search_type=similarity
2026-04-30 17:31:59 | QueryProcessingActor-6 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-6] Recreated RAG spec with retrieval mode
2026-04-30 17:31:59 | Controller | INFO | controller.py:1299 | [p1-rag-evals_10:Controller] Pipeline 1 completed shard 0 (1 batches, 13.58s)
2026-04-30 17:31:59 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 0 for shard 0 (1 batches)
2026-04-30 17:31:59 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [p1-rag-evals_10:QueryProcessingActor-0] Reusing existing inference engine (config hash: 190e7a05)
2026-04-30 17:31:59 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-04-30 17:32:01 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:32:01 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:32:01 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-04-30 17:32:01 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-04-30 17:32:01 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-04-30 17:32:01 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-04-30 17:32:02 | Controller | INFO | controller.py:1299 | [p1-rag-evals_10:Controller] Pipeline 2 completed shard 0 (1 batches, 13.89s)
2026-04-30 17:32:02 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 1 for shard 1 (1 batches)
2026-04-30 17:32:02 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [p1-rag-evals_10:QueryProcessingActor-1] Reusing existing inference engine (config hash: 190e7a05)
2026-04-30 17:32:02 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-04-30 17:32:04 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:32:04 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:32:04 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-04-30 17:32:04 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-04-30 17:32:04 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-04-30 17:32:04 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-04-30 17:32:04 | Controller | INFO | controller.py:1299 | [p1-rag-evals_10:Controller] Pipeline 3 completed shard 0 (1 batches, 13.90s)
2026-04-30 17:32:04 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 2 for shard 1 (1 batches)
2026-04-30 17:32:04 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [p1-rag-evals_10:QueryProcessingActor-2] Reusing existing inference engine (config hash: 190e7a05)
2026-04-30 17:32:04 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-04-30 17:32:06 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:32:06 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:32:06 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-2] Deserializing FAISS index for this actor...
